rocblas_sweep: 21 shapes, 30 reps/solution/shape

=== shape 13/21: M=512 K=512 N=512 ===
  55 candidate solutions
M,K,N,solution_index,status,bad_reps,total_reps
  10 candidate solutions
1,2048,2048,537657398,clean,0,30
1,2048,2048,537657399,clean,0,30
1,2048,2048,537657400,clean,0,30
1,2048,2048,537657401,clean,0,30
1,2048,2048,537657416,clean,0,30
1,2048,2048,537657417,clean,0,30
1,2048,2048,56,clean,0,30
1,2048,2048,537657423,clean,0,30
1,2048,2048,537657429,clean,0,30
1,2048,2048,55,clean,0,30
  shape done in 22s

=== shape 18/21: M=2048 K=2048 N=1 ===
  55 candidate solutions
2048,2048,1,537657393,clean,0,30
2048,2048,1,537657394,clean,0,30
2048,2048,1,537657395,clean,0,30
2048,2048,1,537657396,clean,0,30
2048,2048,1,537657397,clean,0,30
2048,2048,1,537657398,clean,0,30
2048,2048,1,537657399,clean,0,30
2048,2048,1,537657400,clean,0,30
2048,2048,1,537657401,clean,0,30
2048,2048,1,537657402,clean,0,30
2048,2048,1,537657403,clean,0,30
2048,2048,1,537657404,clean,0,30
2048,2048,1,537657405,clean,0,30
2048,2048,1,537657407,clean,0,30
2048,2048,1,537657408,clean,0,30
2048,2048,1,537657409,clean,0,30
2048,2048,1,537657410,clean,0,30
2048,2048,1,537657411,clean,0,30
2048,2048,1,537657413,clean,0,30
2048,2048,1,537657415,clean,0,30
2048,2048,1,537657416,clean,0,30
2048,2048,1,537657417,clean,0,30
2048,2048,1,537657418,clean,0,30
2048,2048,1,537657419,clean,0,30
2048,2048,1,537657421,clean,0,30
2048,2048,1,537657387,clean,0,30
2048,2048,1,537657388,clean,0,30
2048,2048,1,56,clean,0,30
2048,2048,1,537657422,clean,0,30
2048,2048,1,537657423,clean,0,30
2048,2048,1,537657424,clean,0,30
2048,2048,1,537657426,clean,0,30
2048,2048,1,537657427,clean,0,30
2048,2048,1,537657428,clean,0,30
2048,2048,1,537657429,clean,0,30
2048,2048,1,537657430,clean,0,30
2048,2048,1,537657431,clean,0,30
2048,2048,1,537657433,clean,0,30
2048,2048,1,537657435,clean,0,30
2048,2048,1,537657438,clean,0,30
2048,2048,1,537657439,clean,0,30
2048,2048,1,537657441,clean,0,30
2048,2048,1,537657443,clean,0,30
2048,2048,1,537657444,clean,0,30
2048,2048,1,537657446,clean,0,30
2048,2048,1,537657448,clean,0,30
2048,2048,1,537657449,clean,0,30
2048,2048,1,537657450,clean,0,30
2048,2048,1,537657451,clean,0,30
2048,2048,1,537657452,clean,0,30
2048,2048,1,55,clean,0,30
2048,2048,1,537657389,clean,0,30
2048,2048,1,537657390,clean,0,30
2048,2048,1,537657391,clean,0,30
2048,2048,1,537657392,clean,0,30
  shape done in 152s

=== shape 19/21: M=4096 K=4096 N=4 ===
  55 candidate solutions
4096,4096,4,537657393,clean,0,30
4096,4096,4,537657394,clean,0,30
4096,4096,4,537657395,clean,0,30
4096,4096,4,537657396,clean,0,30
4096,4096,4,537657397,clean,0,30
4096,4096,4,537657398,clean,0,30
4096,4096,4,537657399,clean,0,30
4096,4096,4,537657400,clean,0,30
4096,4096,4,537657401,clean,0,30
4096,4096,4,537657402,clean,0,30
4096,4096,4,537657403,clean,0,30
4096,4096,4,537657404,clean,0,30
4096,4096,4,537657405,clean,0,30
4096,4096,4,537657407,clean,0,30
4096,4096,4,537657408,clean,0,30
4096,4096,4,537657409,clean,0,30
4096,4096,4,537657410,clean,0,30
4096,4096,4,537657411,clean,0,30
