M,K,N,solution_index,status,bad_reps,total_reps
64,64,512,537657403,clean,0,30
64,64,512,537657404,broken,28,30
64,64,512,537657405,broken,2,30
64,64,512,537657407,broken,29,30
64,64,512,537657408,broken,19,30
64,64,512,537657409,broken,19,30
64,64,512,537657410,broken,19,30
64,64,512,537657411,broken,17,30
64,64,512,537657413,broken,30,30
64,64,512,537657415,broken,30,30
64,64,512,537657416,clean,0,30
64,64,512,537657417,broken,30,30
64,64,512,537657418,broken,2,30
64,64,512,537657419,clean,0,30
64,64,512,537657421,broken,30,30
64,64,512,537657422,broken,1,30
64,64,512,537657423,broken,29,30
64,64,512,537657424,broken,2,30
64,64,512,537657426,broken,1,30
64,64,512,537657427,clean,0,30
64,64,512,537657428,broken,28,30
64,64,512,537657429,broken,2,30
64,64,512,537657430,broken,1,30
64,64,512,537657431,broken,26,30
64,64,512,537657433,broken,27,30
64,64,512,537657435,broken,1,30
64,64,512,537657438,broken,21,30
64,64,512,537657439,broken,3,30
64,64,512,537657441,broken,29,30
64,64,512,537657443,broken,30,30
64,64,512,537657444,broken,2,30
64,64,512,537657446,clean,0,30
64,64,512,537657448,clean,0,30
64,64,512,537657449,clean,0,30
64,64,512,537657450,clean,0,30
64,64,512,537657451,clean,0,30
64,64,512,537657452,clean,0,30
64,64,512,55,broken,1,30
64,64,512,56,clean,0,30
64,64,512,537657387,clean,0,30
64,64,512,537657388,broken,27,30
64,64,512,537657389,broken,30,30
64,64,512,537657390,broken,29,30
100,100,100,537657391,broken,4,30
100,100,100,537657392,broken,30,30
100,100,100,537657393,broken,28,30
100,100,100,537657394,broken,30,30
100,100,100,537657395,broken,30,30
100,100,100,537657396,broken,30,30
100,100,100,537657397,broken,30,30
100,100,100,537657398,broken,30,30
100,100,100,537657399,broken,11,30
100,100,100,537657400,broken,30,30
100,100,100,537657401,broken,30,30
100,100,100,537657402,broken,30,30
100,100,100,537657403,broken,30,30
100,100,100,537657404,broken,30,30
100,100,100,537657405,broken,30,30
100,100,100,537657407,broken,30,30
100,100,100,537657408,broken,30,30
100,100,100,537657409,broken,30,30
100,100,100,537657410,broken,30,30
100,100,100,537657411,broken,30,30
100,100,100,537657413,broken,30,30
100,100,100,537657415,broken,5,30
100,100,100,537657416,broken,30,30
100,100,100,537657417,broken,30,30
100,100,100,537657418,broken,30,30
100,100,100,537657419,broken,30,30
100,100,100,537657421,broken,30,30
100,100,100,537657422,broken,29,30
100,100,100,537657423,broken,30,30
100,100,100,537657424,broken,30,30
100,100,100,537657426,broken,29,30
100,100,100,537657427,broken,30,30
100,100,100,537657428,broken,30,30
100,100,100,537657429,broken,30,30
100,100,100,537657430,broken,30,30
100,100,100,537657431,broken,30,30
100,100,100,537657433,broken,30,30
100,100,100,537657435,broken,2,30
100,100,100,537657438,broken,30,30
100,100,100,537657439,broken,28,30
100,100,100,537657441,broken,30,30
100,100,100,537657443,broken,30,30
100,100,100,537657444,broken,30,30
100,100,100,537657446,broken,30,30
100,100,100,537657448,broken,30,30
100,100,100,537657449,broken,30,30
100,100,100,537657450,broken,28,30
100,100,100,537657451,broken,30,30
100,100,100,537657452,broken,30,30
100,100,100,55,broken,8,30
100,100,100,56,clean,0,30
100,100,100,537657387,broken,2,30
100,100,100,537657388,broken,30,30
100,100,100,537657389,broken,30,30
100,100,100,537657390,broken,30,30
127,127,127,537657391,broken,1,30
127,127,127,537657392,broken,30,30
127,127,127,537657393,broken,1,30
127,127,127,537657394,broken,30,30
127,127,127,537657395,broken,30,30
127,127,127,537657396,broken,6,30
127,127,127,537657397,broken,29,30
127,127,127,537657398,broken,30,30
127,127,127,537657399,broken,30,30
127,127,127,537657400,broken,30,30
127,127,127,537657401,broken,24,30
127,127,127,537657402,broken,5,30
127,127,127,537657403,broken,28,30
127,127,127,537657404,broken,30,30
127,127,127,537657405,broken,3,30
127,127,127,537657407,clean,0,30
127,127,127,537657408,broken,4,30
127,127,127,537657409,clean,0,30
127,127,127,537657410,broken,29,30
127,127,127,537657411,broken,30,30
